用户名,内容,会员等级,评论时间点,评论点赞数,评论id
藤**,此剧爆火预定,6,0,183,6507253502312646249
不會唱謌的文藝女青年,追剧开始了，打卡,6,0,234,6507266033794357703
不會唱謌的文藝女青年,片头曲独特,6,0,178,6507266169741228179
不會唱謌的文藝女青年,终于看到姚晨了,6,0,88,6507266258978149148
不會唱謌的文藝女青年,这个是尔豪,6,0,45,6507266438726136995
不會唱謌的文藝女青年,麻将不能落下,6,0,41,6507266678950707001
不會唱謌的文藝女青年,一开场就哭了，猝不及防,6,0,116,6507266828599276736
不會唱謌的文藝女青年,都累不见见最后一面,6,0,73,6507266966628270749
不會唱謌的文藝女青年,子女都不在身边这个时候，哎,6,0,150,6507267145420223139
不會唱謌的文藝女青年,这就是生活，要考虑到工作和经济,6,0,174,6507267319295097540
不會唱謌的文藝女青年,不是应该一家人都回去吗,6,0,81,6507267499960545692
不會唱謌的文藝女青年,怀念父母了,6,0,40,6507268086720640790
不會唱謌的文藝女青年,姚晨欢迎上线,6,0,47,6507268289725663726
不會唱謌的文藝女青年,姚晨越来越好看了,6,0,74,6507268380122658526
不會唱謌的文藝女青年,大哥尴尬了，想要安慰的拥抱,6,0,111,6507268466092216442
不會唱謌的文藝女青年,明玉好忙啊，大哥伤心了,6,0,131,6507268557792285437
不會唱謌的文藝女青年,好利索干练的明玉,6,0,39,6507268678035681536
不會唱謌的文藝女青年,各自有自己的生活谁能预料到,6,0,108,6507268844956399631
不會唱謌的文藝女青年,所以说老人不要熬夜,6,0,53,6507269100393706281
不會唱謌的文藝女青年,妈妈还是护士长啊,6,0,55,6507269281438775171
不會唱謌的文藝女青年,事情发生了责怪谁都没用了,6,0,119,6507269375487654899
酒笙倾凉木、,终于等到你啦,0,0,40,6507411124064029281
酒笙倾凉木、,我来报到啦,0,0,52,6507411145199127180
酒笙倾凉木、,我是第一吗,0,0,68,6507411168625668881
酒笙倾凉木、,我来看姚晨的,0,0,141,6507411203692179960
酒笙倾凉木、,追剧开始,6,3,431,6507411228260283287
小糕,来了来了,6,8,308,6507430257498767217
酒笙倾凉木、,vip来占位置,0,10,304,6507411257971379081
白兎  ❀,又可以看到姚晨了！,0,12,469,6507292598460686035
小糕,倪大红最近好火啊,6,15,439,6507430286749843428
白兎  ❀,完全是奔着姚晨而来的哦,0,17,528,6507292620047791376
星 辉,我是第一,0,18,246,6507283624675972227
Leyla,来了，兄弟,4,19,271,6507251551616645987
Leyla,  奔着倪大大来的！,0,20,417,6507251557413174150
最爱蓝二哥哥,听这个片头曲就觉得很有意思的,0,21,536,6507261954577597968
等到昏迷,这是什么乐器啊,0,21,271,6507266981509927910
Leyla,苏明成 :  我来了,4,22,301,6507251563843042222
 ︶ㄣ惚悠?．,我是第一吗,0,22,187,6507265773139336948
浮若年华,又可以看到姚晨了！,0,22,257,6507402667114305955
Leyla,我来啦,0,23,148,6507251569528386054
白兎  ❀,我的大嘴美女  我的最爱！,0,23,289,6507292642760925035
Leyla,感觉好像挺不错的样子,0,24,376,6507251575249416755
Leyla, 来啦老弟儿,0,25,183,6507251579947037268
树叶,哇 京腔京韵啊,0,25,191,6507265344049454356
℡o尐倆瓶ɑ,来了，老弟,0,25,103,6507279372707707022
浮若年华,完全是奔着姚晨而来的哦,0,25,256,6507402674749030328
慢慢,又可以看到姚大大了,0,25,134,6509083589425436101
慢慢,追剧开始了  ,0,25,77,6510318188957775894
Leyla,  啊啊啊啊,4,26,171,6507251584618137270
莫非,感觉好像挺不错的样子,0,26,346,6507270739366972362
白兎  ❀,姚晨的演技可是超级棒的,0,27,386,6507292663897110318
酒笙倾凉木、,来了老弟啊,0,27,196,6507411326960645236
只对你有feeling,第一名,5,27,63,6507246499011954869
278887416,第一,3,15,50,6507246516799998236
278887416,第一第一第一第一,3,24,153,6507246555379472488
　　　　　　　　,你们快去先看第二集,5,29,177,6507246817027569014
ILOVEYOU♛宝贝*^O^*,来咯柳连连,5,6,218,6507247117025164619
CHENG,来啦，老弟,4,14,311,6507247131965275554
🦂,第一个,0,15,142,6507247132402190485
CHENG,第二十六,4,16,182,6507247156133562650
张普通,来了，兄弟,6,12,256,6507247169337497638
🦂,就喜欢不准时,6,28,170,6507247185144856307
a大桃子,？？哪个台播的,6,10,308,6507247238228941257
呵呵😊,苏明玉 : 人好少,5,25,63,6507247246792732784
！！,来了老弟,4,21,59,6507247287281060984
只为你心痛,  来啦来啦！,0,14,240,6507247695159638843
♥爱你我就这么着怎么滴♥,谁第一 不是要打第一了,6,18,337,6507247810203071860
只为你心痛,  就喜欢腾讯的不守时,0,24,201,6507247815307539853
名字该变了, 准时报道,0,16,231,6507247828731444852
庸。, 来了,0,21,14,6507247847962328820
云南特产专营, 来啦老弟儿,0,21,75,6507247893379226096
你在心上,这么无意前排麽,5,6,348,6507247910425966554
原来如此,前100名,0,24,44,6507248032931132325
A叶满丛深殷似火🔥,终于播了,4,7,171,6507248071590032537
钟意,阿飞我来了 ,4,11,286,6507248091144855267
勤奋的人, 第一,0,10,76,6507248118723493120
桂♬ 林洛,哈哈哈哈,6,26,68,6507248135911751030
Han,  1111,0,11,153,6507248210061493076
十一,江西农大商学院刘映,0,29,110,6507248243963345135
。,前排,3,12,48,6507248255206142018
Han,苏明玉 :  我来啦,6,23,60,6507248279389410225
*数字网络,数字网络120名报到,0,16,255,6507248296833520662
天堂的隔壁,来了老弟,0,16,50,6507248544583759701
Nathan-wong,这么 快,6,9,163,6507248835343431593
面朝*海, 早已经答题,0,9,330,6507249133315178308
夜行小神龙,来啦来啦,0,21,10,6507249205466569477
邓,大姚我来了。,2,27,51,6507249613235829646
miss,  弹幕好少啊,0,9,279,6507250224291396317
JackDreams,苏明玉 :  好看吗,4,20,212,6507250331996929344
Amazing...,  奔着倪大大来的！,0,10,194,6507250336515168042
ༀ,  来了,0,20,72,6507250373026318490
燃,  来看大姚,0,12,202,6507250382920681700
陌、安凉,开头好赞,6,16,62,6507250440516864585
歌颂者/爱你,你说气人不,6,21,34,6507250880150518503
Boom  🍂,感觉好像挺不错的样子,0,20,178,6507250904066440057
叶修,好看好看好看,0,29,56,6507251074414610864
木头,奔着倪大红来的,0,27,44,6507251124763036373
轩之旅,苏明成 :  我来了,5,17,339,6507251151418104682
念烟瑶染纱,来了,5,8,81,6507251813492208204
　　　　　　　　　　　　,[不行][不行][不行]-,3,5,299,6507253173124053397
我要怎么学会拒绝,为姚大嘴来的,0,19,264,6507253746584007219
♡💄糖果♡, 來了,0,15,38,6507254074802945971
难遇,  奔着倪大大来的！,0,28,136,6507254116266476964
whiplash,正午出品必属精品！,0,23,47,6507254221286948381
范范, 占坑,0,19,89,6507254932360862063
情朲↘,大姚,0,11,74,6507255059779624067
玉然珠宝,为姚大嘴来的,0,24,66,6507255110292715731
你比我会演,前排,0,5,91,6507255685218547402
刘希,看了小说来的,5,13,316,6507257557508627011
炒粉咪糖, 神之啸,0,10,82,6507257850829978477
七玥, 期待,0,15,64,6507259480768977561
、,  来了都？,0,10,137,6507260267511090418
、,  大家好！,0,14,107,6507260309223710431
N,没剧看，就看这个,0,15,207,6507260988853041514
mingo,侯鸿亮导演诶，肯定是一部好剧，知否的导演,2,23,114,6507261027700685403
查无此人,来了，兄弟,0,28,41,6507261621956976365
Leyla,大姚我来了。,4,30,132,6507251603840898787
A万有引力,又有新剧追了哈哈,0,31,164,6507397330064883316
浮若年华,谁第一 不是要打第一了,0,31,178,6507402693784911724
小糕,来看彭彭的,6,31,112,6507430352645195804
A凉心小迷糊,奔着倪大红来的,0,32,190,6507255115739762200
莫非,哇 京腔京韵啊,0,32,112,6507270766029452014
酒笙倾凉木、,我是第一吗,0,32,85,6507411348790643806
浮若年华,听这个片头曲就觉得很有意思的,0,33,225,6507402699168268257
Leyla,好看好看好看,4,34,138,6507251614512296774
追剧小奶鹅,见正午阳光进,0,34,3220,6507558542365890336
Leyla,开始啦,4,36,50,6507251622905099148
树叶,感觉挺文艺的,0,36,96,6507265389112790437
浮若年华,感觉好像挺不错的样子,0,36,132,6507402705789983207
慢慢,这个曲好听啊,0,36,93,6509083633024253119
Leyla,来了,4,37,44,6507251630406647139
白兎  ❀,姚晨跟郭京飞 很有看点,0,37,134,6507292704954060845
慢慢,这个片头看着不错啊,0,38,145,6507281671417958413
Leyla,来了老第,4,39,58,6507251635252041629
星 辉,这片子应该好看,0,39,89,6507283714510667707
浮若年华,哇 京腔京韵啊,0,39,103,6507402714694223934
酒笙倾凉木、,姚晨我来啦,0,39,91,6507411378407978203
莫非,  倪大红老爷子等戏 必须会来看啊,0,40,164,6507270793717030341
浮若年华,姚晨的演技可是超级棒的,0,41,160,6507402720852815883
Leyla, 来了老弟,0,43,62,6507251660682106947
等到昏迷,片头好特别啊,0,43,119,6507267071624550256
白兎  ❀,这部剧期待很久了,0,43,97,6507292731617251465
Leyla, 姐妹们，有追剧啊,0,44,115,6507251661192838721
浮若年华,又有新剧追了哈哈,0,44,95,6507402727956879882
浮若年华,感觉挺文艺的,3,46,112,6507402735963539568
小糕,听说是良心之作,6,46,115,6507430414125570715
Leyla,准时到,4,47,43,6507251667725431970
含美设计@M*A&N@Y-,大姚我来了。,0,47,82,6507260024300443671
Leyla, 喜欢姚晨,4,48,87,6507251672128096478
Leyla,我是第一个来的啊，哈哈。,4,49,164,6507251676642522321
白兎  ❀,这开头好文艺范啊,7,50,127,6507292757272835804
浮若年华,正午出品必属精品！,0,50,145,6507402746793499177
A凉心小迷糊,倪大红隔壁高蜜老爸,3,51,129,6507255195859623876
树叶,来了 来了 终于看到新片,0,51,108,6507265455139524587
慢慢,还没到正午呢 我这阳光就挺好,0,51,87,6510318294900612650
小糕,很老北京啊,6,52,93,6507430439401534017
浮若年华,姚晨跟郭京飞 很有看点,3,53,138,6507402754015824009
℡o尐倆瓶ɑ,一听就是一个好故事,0,54,96,6507279452249461566
Leyla,大家一起追剧呀,0,55,77,6507251703752441719
Leyla,真的很写实深有体会,4,56,146,6507251708744636791
Leyla,开始追剧,4,58,94,6507251713618151885
树叶,原来刚才看的是预告,0,58,143,6507265480708264450
浮若年华,  倪大红老爷子等戏 必须会来看啊,0,58,158,6507402767634729119
呼呼生威,我是第一个来的啊，哈哈。,6,38,38,6507246490735885626
是个無趣的人,小蒙 :  就喜欢不守时的,2,40,25,6507246989069531642
无心,我是第一个来的啊，哈哈。,6,43,12,6507247371549089041
♥爱你我就这么着怎么滴♥,不要打第一了低调,6,44,7,6507247917878155914
桂♬ 林洛,准时到,6,43,2,6507248207117091646
Han,我是第几个,6,32,22,6507248365875693417
汤姆猫猫子,zzz,3,41,5,6507248408130466798
忘不掉の女人ζ,苏明玉 : 仙桃滴来报道,2,57,31,6507248590480939837
匣与桔, 喜欢姚晨,0,43,10,6507249010002639937
芮鹏飞,开始追剧,6,59,61,6507249119790609852
屿,我是冯添麟,0,43,15,6507249281286737428
慕南梦北, 姐妹们，有追剧啊,0,41,23,6507249341806350207
慵懒,苏明玉 : 来喽,3,35,127,6507250499672617323
木吉他,小蒙 : 来啦,4,55,11,6507250744246679447
清晨点支烟, 大声告诉我。，有没有小姐姐,0,43,42,6507251195823201420
果子狸炖水鱼鞭, 来拉老弟,0,32,12,6507252399517145812
以梦为马,奔着倪叔来的,0,38,26,6507252741180687167
Baby婵 💞,  在吗在吗,0,56,57,6507254009036258854
椿兮如梦,  奔着倪大大来的！,2,31,86,6507254114324780334
见贤思齐,  龙门镖局，镖镖必砸,0,36,29,6507254238978522767
哦哈哟,正午出品有保障,0,31,34,6507254788172299200
Katelyn,苏大强 :  倪大红老爷子等戏 必须会来看啊,6,33,87,6507255442594836747
Katelyn,奔着倪大红来的,0,37,19,6507255463389107759
LIE.,  蔡全无我想死你了,0,41,31,6507255585485297958
七月 ^,来了，老弟,0,55,10,6507256968572842277
淑华,这次又是唯品会的趴,0,56,74,6507257510430785226
玻璃心💋💋,苏明玉 : 这调调正阳门下小女人的感觉,6,45,84,6507257731576438478
一秒乄地震,屏幕前的大猪蹄子,0,55,24,6507258268502963674
☆青色烟雨,苏大强 : 刚追完正阳门下的小女人,4,54,70,6507259000194014851
、,  音乐不错！！！,0,37,28,6507260437028344269
轩窗听雨,苏明成 : 我是来看郭京飞的,6,42,91,6507263126739030889
刚子,倪大红隔壁高蜜老爸,0,55,49,6507267501246135799
王晨逸,喜欢这段京韵大鼓,0,57,79,6507269777852138920
露露, 奔着彭彭来的,0,44,13,6507270699646913265
梦里和你在一起, 大家好晚上好,0,58,42,6507273361527684563
▲何必°自欺欺人丶, 奔着倪戏骨而来,0,40,28,6507276329727573290
你最美,  VIP真的不一样,0,31,68,6507281252835897834
M.u, 毛不易毛不易,0,57,35,6507287186861701522
斌斌别,蔡全无，你说气人不,0,56,47,6507295744440342088
要么忙着活~要么忙着死！！,正午出品，必是精品。。，。,0,36,38,6507302385117314624
JOJO,  来看一下祐祐,0,36,53,6507304252011387299
...,  来了老弟,0,31,44,6507321038332956202
A凉心小迷糊,真的很写实深有体会,0,61,197,6507255236201528339
白兎  ❀,看着像是大北京的故事似得,0,62,241,6507292807345410427
浮若年华, 姐妹们，有追剧啊,0,62,144,6507402780117244500
等到昏迷,苏明玉 : 这个剧名也是有意思,5,66,366,6507267167912214434
白兎  ❀,最爱的就是姚晨的声音哦,0,67,372,6507292829557471181
浮若年华,这开头好文艺范啊,0,67,247,6507402793108091014
树叶,大姚好久不见啦～,0,70,310,6507265535124191381
浮若年华,真的很写实深有体会,0,73,350,6507402808859832364
A凉心小迷糊,金主爸爸唯品会厉害了,0,75,354,6507255296090903087
小糕,姚晨好美啊,6,75,170,6507430539748903660
慢慢,特别喜欢片头,0,75,104,6510318393986584316
简单爱,来了老弟,0,76,186,6507273038113289942
浮若年华,看着像是大北京的故事似得,0,77,380,6507402821195991301
白兎  ❀,还是姚晨最棒！超喜欢,0,78,273,6507292876128893427
等到昏迷, 郭京飞比较搞笑 喜欢他演的剧,0,79,396,6507267223402852982
莫非, 好期待，全是我喜欢的演员！！！,0,79,347,6507270954639622267
星 辉,终于有新片看了,0,80,231,6507283887738526005
浮若年华, 这个剧名也是有意思,0,80,261,6507402828575125709
容若。,这是一部讲述亲情的电视啊,0,81,260,6507256258194027683
莫非,姚晨越来越有气质啦,0,81,225,6507270966065172929
树叶,好期待  都是我喜欢的演员 ,4,84,324,6507265593304090132
白兎  ❀,开头就这么舒服啊~~,0,84,257,6507292899498463932
A万有引力,大嘴姚晨的新剧,0,84,157,6507397442616966713
浮若年华,唯品会出现得就是那么惊喜？,0,84,192,6507402840734413027
小糕,都挺好就好,6,84,106,6507430575056821493
莫非,这是一部讲述亲情的电视啊,0,86,272,6507270987755010969
爱斯,旧金山风景好好看,0,87,203,6507256880627652892
℡o尐倆瓶ɑ,我最喜欢的大嘴姚晨哦,0,87,188,6507279545081992456
浮若年华, 郭京飞比较搞笑 喜欢他演的剧,0,87,193,6507402847984300148
含美设计@M*A&N@Y-,真的很写实深有体会,0,88,194,6507260140244677901
莫非, 郭京飞比较搞笑 喜欢他演的剧,0,88,234,6507270999096409039
小糕,来看了来看了,6,89,148,6507431784938452556
常木木木,林小娘~,6,75,22,6507246516574860460
Be the actor of your own life,苏明玉 :  终于开播了,4,78,197,6507246748518518550
Y。   ✨,苏明成 :  哎呀呀。哎呀呀,1,60,190,6507246984736815580
CHENG,正午阳光牛皮啊,4,83,185,6507247329836469653
HELLO”,来了老弟,5,89,50,6507247727439710083
彭豆豆,苏明玉 : 来啦！,1,87,44,6507247828384025080
♥爱你我就这么着怎么滴♥,大家好 都挺好,6,74,173,6507248043387532270
凡凡,苏大强 :  正午又出一部,4,85,113,6507248082873417748
Dimples, 来了来了,0,83,66,6507248226369213006
A可爱到冒泡泡,苏明玉 : 姚晨，,2,76,83,6507248860626696292
Cecilia 🎡,金主爸爸唯品会厉害了,5,71,291,6507249841366087614
憬觅, 喜欢片头！,0,76,47,6507249999902391210
。 🍑,喜欢姚晨，演技派,1,81,63,6507250240419202407
六月ಡ～,苏明玉 : 来看彭彭,6,73,219,6507250406231916350
Cinderella, 喜欢姚晨，演技派,0,85,73,6507250511593540620
Ran,恒天财富的打个卡,3,61,107,6507250627863131302
🌸🦄🌈, 来看彭彭,0,78,77,6507250881804047492
入夜﹠酣睡      ,[6周年][6周年][6周年][6周年]大家好,6,62,61,6507251047283012881
~`o`~婕。,金主爸爸唯品会厉害了,6,82,174,6507251425549423174
Hwinn_n,片花像芝麻胡同既视感,5,72,329,6507252155833364622
≈谢拒暧昧﹏,苏明玉 : 蜜蜜爸爸来了,6,69,241,6507252738980036379
💯,认真看剧,5,88,24,6507253148401470831
余生请多指教O(∩_∩)O,苏明玉 : 来了,2,67,65,6507256397225729355
汇鑫五金日杂批发,真的很写实深有体会,0,67,98,6507256537294508228
Lay💫, 好期待，全是我喜欢的演员！！！,0,67,42,6507256773534221984
久伴,真的很写实深有体会,0,75,69,6507256875559960299
爱心,什么好剧都躲不过唯品会,1,70,266,6507257813016262245
淑华,真巧这部剧也有唯品会,0,62,24,6507257879148560839
探奇,唯品会充钱了吗,0,62,46,6507258201866701297
👰🏻, 好期待，全是我喜欢的演员！！！,0,73,118,6507258253389798387
☆青色烟雨,苏明玉 : 大嘴姚,4,86,100,6507259134450580392
゛╰童心未泯, 好期待，全是我喜欢的演员！！！,6,80,91,6507259153517886515
